id,activity,timestamp_epoch
0,A_Create Application,1454315508
1,A_Concept,1454315508
2,W_Complete application__Created__SCHEDULE,1454315508
3,W_Complete application__Obtained__START,1454315508
4,A_Accepted,1454315629
5,W_Complete application__Released__SUSPEND,1454315675
6,O_Create Offer,1454334756
7,O_Created,1454334757
8,O_Sent (mail and online),1454334876
9,W_Complete application__Deleted__ATE_ABORT,1454334876
10,W_Call after offers__Created__SCHEDULE,1454334876
11,W_Call after offers__Obtained__START,1454334876
12,A_Complete,1454334876
13,W_Call after offers__Released__SUSPEND,1454334950
14,W_Call after offers__Deleted__ATE_ABORT,1454660963
15,W_Validate application__Created__SCHEDULE,1454660963
16,W_Validate application__Obtained__START,1454660963
17,A_Validating,1454660964
18,O_Returned,1454661017
19,W_Validate application__Released__SUSPEND,1454661134
20,O_Accepted,1454672313
21,A_Pending,1454672313
22,W_Validate application__Deleted__ATE_ABORT,1454672313
